node,period,d
1,1,0.291
1,2,0.292
1,3,0.343
1,4,0.312
1,5,0.336
1,6,0.343
1,7,0.335
1,8,0.349
1,9,0.354
1,10,0.355
1,11,0.326
1,12,0.327
1,13,0.282
1,14,0.287
1,15,0.283
1,16,0.298
1,17,0.305
1,18,0.308
1,19,0.352
1,20,0.401
1,21,0.436
1,22,0.408
1,23,0.325
1,24,0.308
2,1,0.315
2,2,0.308
2,3,0.339
2,4,0.329
2,5,0.351
2,6,0.342
2,7,0.341
2,8,0.366
2,9,0.377
2,10,0.367
2,11,0.342
2,12,0.329
2,13,0.301
2,14,0.289
2,15,0.277
2,16,0.289
2,17,0.297
2,18,0.316
2,19,0.375
2,20,0.493
2,21,0.492
2,22,0.423
2,23,0.335
2,24,0.323
3,1,0.200
3,2,0.206
3,3,0.218
3,4,0.215
3,5,0.222
3,6,0.239
3,7,0.241
3,8,0.232
3,9,0.238
3,10,0.232
3,11,0.229
3,12,0.213
3,13,0.212
3,14,0.185
3,15,0.201
3,16,0.204
3,17,0.210
3,18,0.214
3,19,0.246
3,20,0.338
3,21,0.332
3,22,0.282
3,23,0.238
3,24,0.203
4,1,0.242
4,2,0.233
4,3,0.258
4,4,0.259
4,5,0.250
4,6,0.254
4,7,0.273
4,8,0.271
4,9,0.268
4,10,0.277
4,11,0.257
4,12,0.246
4,13,0.224
4,14,0.219
4,15,0.213
4,16,0.224
4,17,0.235
4,18,0.240
4,19,0.263
4,20,0.358
4,21,0.379
4,22,0.317
4,23,0.263
4,24,0.246
5,1,0.237
5,2,0.246
5,3,0.245
5,4,0.248
5,5,0.266
5,6,0.256
5,7,0.263
5,8,0.262
5,9,0.266
5,10,0.278
5,11,0.251
5,12,0.253
5,13,0.226
5,14,0.215
5,15,0.209
5,16,0.221
5,17,0.237
5,18,0.226
5,19,0.285
5,20,0.387
5,21,0.376
5,22,0.322
5,23,0.261
5,24,0.237
6,1,0.247
6,2,0.262
6,3,0.285
6,4,0.282
6,5,0.275
6,6,0.274
6,7,0.285
6,8,0.297
6,9,0.292
6,10,0.291
6,11,0.289
6,12,0.283
6,13,0.253
6,14,0.244
6,15,0.251
6,16,0.234
6,17,0.254
6,18,0.268
6,19,0.310
6,20,0.428
6,21,0.423
6,22,0.343
6,23,0.283
6,24,0.271
7,1,0.264
7,2,0.275
7,3,0.291
7,4,0.292
7,5,0.282
7,6,0.277
7,7,0.281
7,8,0.281
7,9,0.314
7,10,0.283
7,11,0.282
7,12,0.273
7,13,0.253
7,14,0.246
7,15,0.253
7,16,0.250
7,17,0.246
7,18,0.262
7,19,0.308
7,20,0.406
7,21,0.399
7,22,0.347
7,23,0.292
7,24,0.276
8,1,0.525
8,2,0.524
8,3,0.573
8,4,0.550
8,5,0.582
8,6,0.548
8,7,0.565
8,8,0.581
8,9,0.610
8,10,0.583
8,11,0.564
8,12,0.568
8,13,0.510
8,14,0.497
8,15,0.475
8,16,0.485
8,17,0.499
8,18,0.538
8,19,0.606
8,20,0.832
8,21,0.807
8,22,0.698
8,23,0.596
8,24,0.529
